Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Badminton duration (ms),Rowing machine duration (ms),Jogging duration (ms),Paced walking duration (ms)
2022-06-13,107,1850.076574949189,7133.006675243378,72.0,52,,,,,,,,0.650017409220059,1.9370568990707397,0.3175964951515198,9575,,,,,,2942307,,,,,
2022-06-14,89,1988.6143833133358,5801.850177764893,61.0,37,,,,,,,,0.771627208993839,2.1950762271881104,0.2520143389701843,7804,,,,,,5213968,,,,,
2022-06-15,105,1470.6745759960502,5755.0042843818665,48.0,33,,,,,,,,0.6711736567308154,2.278179168701172,0.27392861247062683,7795,,,,,,3995947,,,,,
2022-06-16,,1656.7140638932913,,,,,,,,,,,,,,19,76.74776458740234,76.74776458740234,76.74776458740234,,,,,,,,
2022-06-17,161,2089.5654708344873,10937.451897382736,104.0,68,,,,,,,,0.6966441356239685,2.377483367919922,0.2520143389701843,14193,,,,,,3279227,1617574,,,,
2022-06-18,52,1776.0294590961194,3260.3633148670197,20.0,14,,,,,,,,0.5415306972382065,2.754589796066284,0.2520143389701843,4351,,,,,,1252928,389365,,,,
2022-06-19,139,2284.6966136340193,3243.974328994751,58.0,58,,,,,,,,0.44970388920674986,1.626776933670044,0.2520143389701843,4920,,,,3463780,,6698857,,,,,
2022-06-20,127,1949.8163414385742,7492.527062416077,61.0,52,,,,,,,,0.8091700497679664,1.9132884740829468,0.29277509450912476,10101,,,,,,4956942,,,,,
2022-06-21,56,2121.336996822802,6168.652630329132,64.0,37,,,,,,,,0.768154776996535,3.059821367263794,0.3287143409252167,6756,,,,,,2286192,1792754,,,,
2022-06-22,134,1880.7560128243058,6017.269341945648,44.0,39,,,,,,,,0.8483125474168073,1.907120704650879,0.3287143409252167,8218,,,,,,2188297,746200,,,,
2022-06-23,75,2018.6531967321448,7348.344811439514,77.0,52,,,,,,,,1.4588299535768077,3.0084950923919678,0.26267334818840027,8537,,,,,,3436222,1663794,,,,
2022-06-24,,1639.4775769846626,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-25,93,2259.581864029055,9454.593902230263,93.0,62,,,,,,,,1.2040437026282513,3.0925838947296143,0.2848857641220093,10800,75.74986267089844,75.74986267089844,75.74986267089844,,,4096226,1875674,,,,
2022-06-26,84,1827.223709791468,1382.6180720329285,48.0,48,,,,,,,,0.7064851020627807,1.7228466272354126,0.2520143389701843,2129,,,,2950281,,82692,,,,,
2022-06-27,90,2211.3856187872943,10530.020978212357,107.0,66,,,,,,,,1.6227494123518555,3.8596251010894775,0.2958429157733917,11225,,,,,,2735832,2873691,,,,
2022-06-28,,1629.4986363603684,9.861431121826172,,,,,,,,,,0.5553058385848999,0.5553058385848999,0.5553058385848999,15,,,,,,,,,,,
2022-06-29,182,2235.31227808671,11180.825274944305,89.0,58,,,,,,,,0.804669668164514,3.4197206497192383,0.26528799533843994,13653,,,,,,3906112,1927701,,,,
2022-06-30,202,2515.060273503232,16361.548589229584,172.0,117,,,,,,,,0.74864163688182,3.5428671836853027,0.26334261894226074,20264,,,,,,9110442,1678417,,,,
2022-07-01,97,2020.0649721129741,7808.193855524063,81.0,72,,,,,,,,0.6604474836519525,2.9176855087280273,0.2941218912601471,9820,,,,,,311325,2569746,,,,
2022-07-02,148,2789.2017370083267,12447.77938747406,106.0,61,,,,,,,,0.7625087776202775,5.643745422363281,0.23906846344470978,14216,,,,,,8966641,2890320,,,,
2022-07-03,24,1724.24587338684,1456.8882335424423,10.0,8,,,,,,,,1.404182310829449,2.9339449405670166,0.3287143409252167,1895,,,,,,419730,497311,,,,
2022-07-04,69,1970.8111600013494,6019.643601179123,61.0,38,,,,,,,,0.5224260920928818,4.4281392097473145,0.2602493166923523,7019,,,,,,1859169,1076637,,,,
2022-07-05,150,2252.908657300073,11324.91288113594,108.0,89,,,,,,,,0.8397713386892809,2.9534082412719727,0.2520143389701843,15094,,,,,,10986522,73739,,,,
2022-07-06,4,1629.498646417437,204.20764207839966,,,,,,,,,,0.48399968900630513,1.1644904613494873,0.2520143389701843,434,75.34163284301758,75.56842803955078,75.11483764648438,,,,,,,,
2022-07-07,167,2529.3857195538267,9343.722878932953,54.0,52,,,,,,,,0.4772002994319101,2.660883665084839,0.2520143389701843,13325,,,,,,14765981,,,,,
2022-07-08,197,2568.485815423859,11777.054419279099,149.0,121,,,,,,,,0.8000455933888877,2.9437525272369385,0.2593265473842621,14750,,,,2690950,,6531032,2117573,,,,
2022-07-09,70,1892.317838121962,6174.222593307495,73.0,59,,,,,,,,0.4794789667650144,2.1228184700012207,0.30680006742477417,7998,,,,,,4319372,,,,,
2022-07-10,103,2015.0940462604435,1505.0625553131104,59.0,59,,,,,,,,0.5030253224186846,4.659999847412109,0.25930795073509216,2348,74.02621459960938,74.02621459960938,74.02621459960938,3666555,,2474642,,,,,
2022-07-11,57,1844.5058101471977,6810.80496430397,74.0,46,,,,,,,,2.003892856637462,3.026726722717285,0.3287143409252167,7296,,,,,,1508501,1767260,,,,
2022-07-12,,1612.262186391256,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-13,,1612.262186391256,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-14,,1626.3389020658997,15.778289794921875,,,,,,,,,,0.2629714906215668,0.2629714906215668,0.2629714906215668,78,,,,,,236670,,,,,
2022-07-15,81,2145.572950894827,8897.277493476868,96.0,63,,,,,,,,0.9478830301442855,2.9048638343811035,0.2848857641220093,10145,,,,,,2181603,2122903,,,,
2022-07-16,340,2963.8393443595905,19154.451997876167,296.0,244,,,,,,,,0.8292445914595877,2.6666460037231445,0.2520143389701843,25137,,,,5901098,,14350205,885184,,,,
